,material_name,formula,class,âˆ’Î”Sm(H = 2T) (J kgâÅ»Â_ KâÅ»Â_),âˆ’Î”Sm(H = 5T) (J kgâÅ»Â_ KâÅ»Â_),Curie temperature (K),energy of spin-polarization (eV/atom),"magnetic deformation (Î£m), %",magnetic volume change (%),largest local moment (ÂµB),element carrying largest moment,theoretical density (g/cmÂ_),gravimetric moment (emu/g),volumetric moment (emu/cmÂ_),moment per atom (ÂµB/atom),source (experimental),cid
0,MnSb,MnSb,NiAs,,,600,-0.00185326,0.028806912,0.116606546,2.404,Mn,8.354588314,73.02895118,610.1268221,1.155243475,"<a href=""http://dx.doi.org/10.1103/PhysRev.129.2008"">http://dx.doi.org/10.1103/PhysRev.129.2008</a>",0
1,Fe23Y6,Fe23Y6,other,,,485,0.149464463,1.79050315,9.446535157,2.524,Fe,6.980462059,152.7527788,1066.284977,1.714473838,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91181-9"">http://dx.doi.org/10.1016/0038-1098(76)91181-9</a>",1
2,Fe3Y,Fe3Y,other,,,549,0.104112291,1.222851149,5.511040858,2.144,Fe,7.176585913,82.40101801,591.3579851,0.945881433,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91181-9"">http://dx.doi.org/10.1016/0038-1098(76)91181-9</a>",2
3,Co5Y,Co5Y,other,,,921,0.113252152,0.976699549,4.816890839,1.562,Co,7.720803316,105.2393401,812.5322456,1.204621117,"<a href=""https://books.google.com/books?id=AZVfuxXF2GsC"">https://books.google.com/books?id=AZVfuxXF2GsC</a>",3
4,Co7La2,Co7La2,other,,,490,5.35E-05,0.022797952,0.029699187,0.436,Co,7.859274965,2.221943908,17.46286813,0.026427158,"<a href=""http://dx.doi.org/10.1063/1.1656420"">http://dx.doi.org/10.1063/1.1656420</a>",4
5,Fe2Y,Fe2Y,laves,,,550,0.167972935,0.933277126,4.888436801,1.992,Fe,7.038315726,86.01597415,605.4075836,1.029809117,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91734-8"">http://dx.doi.org/10.1016/0038-1098(76)91734-8</a>",5
6,Fe3P,Fe3P,close packed,,,716,0.125748045,1.473298013,5.756858485,2.223,Fe,7.43523341,157.3237781,1169.739011,1.397947825,"<a href=""http://dx.doi.org/10.1063/1.1709566"">http://dx.doi.org/10.1063/1.1709566</a>",6
7,Fe3N,Fe3N,close packed,,,550,0.156012106,1.882990742,6.891785772,2.127,Fe,7.482088341,187.8323233,1405.378036,1.526383138,"<a href=""http://dx.doi.org/10.1063/1.1709566"">http://dx.doi.org/10.1063/1.1709566</a>",7
8,Fe2CoN,Fe2CoN,close packed,,,488,0.123424046,1.844776848,5.896524358,2.182,Fe,7.681899785,155.3906456,1193.695367,1.284232738,"<a href=""http://dx.doi.org/10.1021/cm3031297"">http://dx.doi.org/10.1021/cm3031297</a>",8
9,Fe2NiN,Fe2NiN,close packed,,,234,0.125862423,1.365449844,4.7267101,2.07,Fe,7.642053023,126.3367114,965.4718475,1.042759125,"<a href=""http://dx.doi.org/10.1021/cm3031297"">http://dx.doi.org/10.1021/cm3031297</a>",9
10,Fe3Ge-hex,Fe3Ge,close packed,,,640,0.219456546,1.704925013,7.183399993,2.201,Fe,8.365357852,147.8475652,1236.797791,1.589493688,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/11/015"">http://dx.doi.org/10.1088/0305-4608/6/11/015</a>",10
