,material_name,formula,class,−ΔSm(H = 2T) (J kg⁻¹ K⁻¹),−ΔSm(H = 5T) (J kg⁻¹ K⁻¹),Curie temperature (K),source (experimental),−ΔSm(H = 2T) (J cm⁻³ K⁻¹),−ΔSm(H = 5T) (J cm⁻³ K⁻¹),energy of spin-polarization (eV/atom),"magnetic deformation (Σm), %",largest local moment (µB),gravimetric moment (emu/g),volumetric moment (emu/cm³),moment per atom (µB/atom),element carrying largest moment,average magnetic moment (µB),spin polarization at fermi level (%),nonmag. DOS at fermi level (states/eV/atom),nonmag. DOS at fermi level (states/eV/mag. ion),density (g/cm³),spacegroup number,spacegroup symbol,closest magnetic ion spacing (Å),number of unique magnetic sites,natoms,cid
0,MnFe2Si,MnFe2Si,heusler,1.7,0.7,250.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",227.73756010913908,93.77428945670434,0.21727177250000018,0.3885698889839067,2.539,86.07050263503754,642.4932910032173,0.7501832,Mn,1.0002442666666667,100.0,4.055113954448977,5.40681860593197,7.464732647461867,225.0,Fm-3m,2.4139649774999996,2,4.0,0
1,MnNi2Ga_FM-PM,MnNi2Ga,heusler,1.5,,329.0,"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>",181.59482452761523,,0.3083984925000003,0.7515483628335914,3.384,93.69558330502798,773.939319708803,1.01516625,Mn,1.353555,-27.30750699326652,2.8863560673076982,3.848474756410264,8.260147302666626,225.0,Fm-3m,2.5094283824999994,2,4.0,1
2,MnCoP,MnCoP,Ni2In-TiNiSi,3.1,6.0,583.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",434.52624229154384,841.0185334675042,0.12901980750000064,3.030272518455252,2.737,114.8611963272989,819.4435087207527,0.9929615166666667,Mn,1.489442275,8.832948796588411,1.162909456740415,1.7443641851106224,7.134206633071579,62.0,Pnma,2.5505367701039496,2,12.0,2
3,FeB,FeB,boride,1.7,3.2,573.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",242.79276783852157,457.0216806372171,0.05710855375000001,2.16675580625294,1.258,96.60014989085754,676.3803398117634,0.5764529625,Fe,1.152905925,-78.26037543829177,0.6444328997999995,1.288865799599999,7.00185600722114,62.0,Pnma,2.5964187836900425,1,8.0,3
4,Ni,Ni,close packed,1.4,2.5,627.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",154.96639663912762,276.7257082841565,0.06383270499999938,0.06550509550584012,0.617,55.56428846556853,501.9798197472875,0.583931425,Ni,0.583931425,-80.68080082166826,4.312801950867056,4.312801950867056,9.034216645433133,225.0,Fm-3m,2.480205227359181,1,4.0,4
5,Y2Fe17,Y2Fe17,close packed,2.5,4.8,300.0,"<a href=""http://dx.doi.org/10.1016/j.cap.2016.05.013"">http://dx.doi.org/10.1016/j.cap.2016.05.013</a>",336.69960128549417,646.4632344681487,0.14507836736842106,1.9764309800946573,2.612,187.3498023382226,1391.0753207230935,1.990070507894737,Fe,1.990070507894737,-18.83767893944702,2.2724420583894527,2.2724420583894527,7.425016217587384,194.0,P6_3/mmc,2.3511720809057852,6,38.0,5
6,MnFePAs-Prich,MnFeP0.667As0.333,Fe2P,11.0,16.0,225.0,"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>",1522.9205143166844,2215.157111733359,0.10945201333333425,3.1385180242881408,2.998,146.04369385697754,1054.8683383830844,1.3633018555555556,Mn,2.044952783333333,-39.7678322343053,1.5836135894925332,2.3754203842387995,7.222963967318783,189.0,P-62m,2.582358024998925,2,9.0,6
7,MnNi2Ga,MnNi2Ga,heusler,,,379.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.3083984925000003,0.7515483628335914,3.384,93.69558330502798,773.939319708803,1.01516625,Mn,1.353555,-27.30750699326652,2.8863560673076982,3.848474756410264,8.260147302666626,225.0,Fm-3m,2.5094283824999994,2,4.0,7
8,MnNi2Ga,MnNi2Ga,heusler,,,379.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.30837666999999946,0.7431739485279302,3.384,93.69411580177466,773.9482529217086,1.01515035,Mn,1.3535338000000001,-27.320423540439933,2.9084662186094525,3.8779549581459367,8.260372023352284,225.0,Fm-3m,2.509405628291395,2,4.0,8
9,Fe3GeTe2,Fe3GeTe2,layered,,1.1,225.0,"<a href=""http://dx.doi.org/10.1021/acs.inorgchem.5b01260"">http://dx.doi.org/10.1021/acs.inorgchem.5b01260</a>",,157.1006674159101,0.12983516833333297,1.238053258133719,2.449,70.78315524299774,495.6151494962537,1.04638035,Fe,2.0927607,35.993273970412446,2.0850252542288503,4.170050508457701,7.001879865270385,194.0,P6_3/mmc,2.474846348214026,2,12.0,9
