material_name	formula	class	Curie temperature (K)	DSm_2T	DSm_5T	doi_link
MnSb	MnSb	NiAs	600			"<a href=""http://dx.doi.org/10.1103/PhysRev.129.2008"">http://dx.doi.org/10.1103/PhysRev.129.2008</a>"
Fe23Y6	Fe23Y6	other	485			"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91181-9"">http://dx.doi.org/10.1016/0038-1098(76)91181-9</a>"
Fe3Y	Fe3Y	other	549			"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91181-9"">http://dx.doi.org/10.1016/0038-1098(76)91181-9</a>"
Co5Y	Co5Y	other	921			"<a href=""https://books.google.com/books?id=AZVfuxXF2GsC"">https://books.google.com/books?id=AZVfuxXF2GsC</a>"
Co7La2	Co7La2	other	490			"<a href=""http://dx.doi.org/10.1063/1.1656420"">http://dx.doi.org/10.1063/1.1656420</a>"
Fe2Y	Fe2Y	laves	550			"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91734-8"">http://dx.doi.org/10.1016/0038-1098(76)91734-8</a>"
Fe3P	Fe3P	close packed	716			"<a href=""http://dx.doi.org/10.1063/1.1709566"">http://dx.doi.org/10.1063/1.1709566</a>"
Fe3N	Fe3N	close packed	550			"<a href=""http://dx.doi.org/10.1063/1.1709566"">http://dx.doi.org/10.1063/1.1709566</a>"
Fe2CoN	Fe2CoN	close packed	488			"<a href=""http://dx.doi.org/10.1021/cm3031297"">http://dx.doi.org/10.1021/cm3031297</a>"
Fe2NiN	Fe2NiN	close packed	234			"<a href=""http://dx.doi.org/10.1021/cm3031297"">http://dx.doi.org/10.1021/cm3031297</a>"
Fe3Ge-hex	Fe3Ge	close packed	640			"<a href=""http://dx.doi.org/10.1088/0305-4608/6/11/015"">http://dx.doi.org/10.1088/0305-4608/6/11/015</a>"
Co2B	Co2B	boride	429			"<a href=""http://dx.doi.org/10.1007/BF00817215"">http://dx.doi.org/10.1007/BF00817215</a>"
Co3B	Co3B	boride	747			"<a href=""http://dx.doi.org/10.1007/BF00817215"">http://dx.doi.org/10.1007/BF00817215</a>"
CoS2	CoS2	pyrite	130			"<a href=""http://dx.doi.org/10.1063/1.1656326"">http://dx.doi.org/10.1063/1.1656326</a>"
CrNb3S6	CrNb3S6	layered	160			"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>"
CrTa3S6	CrTa3S6	layered	170			"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>"
MnNb3S6	MnNb3S6	layered	48			"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>"
MnTa3S6	MnTa3S6	layered	80			"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>"
CrNb3Se6	CrNb3Se6	layered	105			"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>"
CrTa3Se6	CrTa3Se6	layered	120			"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>"
MnNb4S8	MnNb4S8	layered	100			"<a href=""http://dx.doi.org/10.1143/JPSJ.55.347"">http://dx.doi.org/10.1143/JPSJ.55.347</a>"
MnTa4S8	MnTa4S8	layered	75			"<a href=""http://dx.doi.org/10.1143/JPSJ.55.347"">http://dx.doi.org/10.1143/JPSJ.55.347</a>"
Cr2Te3	Cr2Te3	Ni2In-TiNiSi	180			"<a href=""http://dx.doi.org/10.1016/0304-8853(87)90416-1"">http://dx.doi.org/10.1016/0304-8853(87)90416-1</a>"
Cr3Te4	Cr3Te4	Ni2In-TiNiSi	317			"<a href=""http://dx.doi.org/10.1007/BF00560631"">http://dx.doi.org/10.1007/BF00560631</a>"
CuCr2Se4	CuCr2Se4	spinel	430			"<a href=""http://dx.doi.org/10.1016/0022-3697(78)90008-2"">http://dx.doi.org/10.1016/0022-3697(78)90008-2</a>"
CuCr2S4	CuCr2S4	spinel	375			"<a href=""http://dx.doi.org/10.1143/JPSJ.25.369"">http://dx.doi.org/10.1143/JPSJ.25.369</a>"
CuCr2Te4	CuCr2Te4	spinel	329			"<a href=""http://dx.doi.org/10.1143/JPSJ.25.369"">http://dx.doi.org/10.1143/JPSJ.25.369</a>"
Ba2MnReO6	Ba2MnReO6	oxide	110			"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>"
Ba2FeMoO6	Ba2FeMoO6	oxide	308			"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>"
